feature,importance
log10_xrs_b_flux_roll_6h_std,0.058162853653960116
proton_flux_proxy_gt50_mev_roll_3d_mean,0.05805400992251123
flux,0.05668653415093123
log10_xrs_b_flux,0.05609807757643435
log10_xrs_a_flux_roll_6h_max,0.0511829739952155
flux_orbit_diff_95m,0.05099614093282673
flux_lag_1d,0.048045346952354004
flux_orbit_diff_380m,0.04684210616390078
log_dose_orbit_diff_285m,0.046122245224455335
flux_lag_285m,0.045713904262498314
log10_xrs_b_flux_roll_3d_std,0.045366414188144875
proton_flux_proxy_gt100_mev_roll_1d_std,0.04408601318042497
proton_flux_proxy_gt10_mev_roll_7d_std,0.04287859714372585
proton_flux_proxy_gt50_mev_roll_1d_std,0.04208166551113144
proton_flux_proxy_gt50_mev_roll_7d_min,0.04100643037897765
flux_lag_15m,0.039435461248153544
proton_flux_proxy_gt10_mev_roll_1d_max,0.035759460910456085
proton_flux_proxy_gt100_mev_roll_6h_std,0.0338613339048341
log_dose_lag_95m,0.03369070109029334
donki_flr_age_minutes,0.03202637919056292
proton_flux_proxy_gt100_mev_roll_6h_max,0.03162875619392032
proton_flux_proxy_gt10_mev_roll_7d_max,0.030351023733718063
log_dose_orbit_diff_380m,0.030045743179315902
proton_flux_proxy_gt50_mev_roll_7d_mean,0.029183403140095827
proton_flux_proxy_gt100_mev_roll_3d_std,0.026052678507179915
proton_flux_proxy_gt100_mev_roll_3d_mean,0.025668480461418827
flux_orbit_diff_285m,0.025379213616218543
log10_xrs_a_flux_roll_1d_std,0.023948376631898215
log_dose_lag_3d,0.023780024438833647
proton_flux_proxy_gt50_mev_roll_6h_max,0.02133420323958651
proton_flux_proxy_gt10_mev_roll_6h_max,0.01984905062011098
log10_xrs_a_flux_roll_6h_mean,0.019829595638274886
log_dose_lag_1h,0.019548146985754446
proton_flux_proxy_gt10_mev_roll_1h_min,0.019456217982977347
dose_residual_lag_90m,0.017945093906069392
proton_flux_proxy_gt50_mev_roll_3d_max,0.017661274423919977
donki_ips_notification_count,0.015978879022306006
proton_flux_proxy_gt100_mev_roll_7d_max,0.015953379774958018
Hp60,0.015395234797558553
log10_xrs_a_flux_roll_1h_min,0.014282701690613549
