feature,importance
proton_flux_proxy_gt10_mev_roll_6h_max,0.09777865424962036
log_dose_lag_90m,0.09712806985626651
log10_xrs_a_flux_roll_3d_min,0.09608311712961852
log10_xrs_a_flux_roll_6h_max,0.09267867222327268
log10_xrs_a_flux_roll_1d_std,0.09180383568990566
proton_flux_proxy_gt10_mev_roll_3d_mean,0.09117343815258125
log10_xrs_b_flux_roll_3d_std,0.08962182954209054
log_dose_lag_30m,0.08543590437732985
log10_xrs_b_flux_roll_7d_std,0.08254705397556535
log10_xrs_a_flux_roll_3d_std,0.08154410906596751
proton_flux_proxy_gt10_mev_roll_7d_max,0.08141374793436083
proton_flux_proxy_gt50_mev_roll_7d_max,0.08064731031217508
proton_flux_proxy_gt100_mev_lag_3d,0.08000904977527776
proton_flux_proxy_gt100_mev_roll_7d_mean,0.07777222233047537
log10_xrs_a_flux_roll_7d_max,0.07344380161420207
log1p_flux_delta_15m,0.07225171223450863
flux_roll_3d_std,0.07169779979703454
flux_lag_3h,0.06988437654796444
proton_flux_proxy_gt50_mev_roll_3d_mean,0.06963036180723177
donki_cme_notification_count,0.06861442536107241
proton_flux_proxy_gt100_mev_roll_6h_mean,0.057469126307329164
flux_lag_90m,0.05595281844039595
proton_flux_proxy_gt50_mev_roll_3d_max,0.05537998269543345
log10_xrs_a_flux_roll_6h_mean,0.055308347490516
log10_xrs_b_flux_lag_285m,0.055034592490317905
proton_flux_proxy_gt100_mev_roll_6h_max,0.05498723202820275
proton_flux_proxy_gt10_mev_roll_3d_std,0.053439488136404915
proton_flux_proxy_gt100_mev_roll_1d_min,0.052433967284354156
proton_flux_proxy_gt50_mev_roll_7d_std,0.05131097958212063
log_dose_orbit_diff_285m,0.050317234052778576
proton_flux_proxy_gt50_mev_roll_6h_max,0.0499062564306753
flux_orbit_diff_285m,0.04554160714980057
flux_lag_5m,0.043207789823411474
donki_gst_notification_count,0.04014110167810325
proton_flux_proxy_gt50_mev_roll_7d_min,0.03994873405369855
log1p_flux,0.03850919296182648
proton_flux_proxy_gt100_mev_roll_7d_min,0.037604059913589095
dose_residual_lag_90m,0.036818087350443694
proton_flux_proxy_gt10_mev_roll_1d_mean,0.03631344464141926
proton_flux_proxy_gt50_mev_roll_6h_std,0.035511728806876676
proton_flux_proxy_gt10_mev_lag_3d,0.034959470952001886
proton_flux_proxy_gt50_mev_roll_1d_max,0.03428569111848441
flux_lag_7d,0.033949978778516444
log10_xrs_a_flux_roll_6h_std,0.031596635822968316
flux_lag_1d,0.028693227214730277
proton_flux_proxy_gt50_mev_lag_3d,0.02670188331883433
Hp60,0.024858666457012596
log10_xrs_b_flux_lag_190m,0.023781674757652027
flux_lag_3d,0.023165178304146477
proton_flux_proxy_gt50_mev_roll_1d_std,0.0228229067932443
log_dose_lag_3h,0.022503665178094243
dose_residual_roll_1h_min,0.021897585109094966
proton_flux_proxy_gt100_mev_roll_1d_std,0.020042262526287973
donki_sep_notification_count,0.01924747763674595
proton_flux_proxy_gt100_mev_roll_6h_std,0.018636914515146524
log10_xrs_a_flux_roll_1h_min,0.017789374233343636
log_dose_lag_95m,0.016716420540411343
log10_xrs_b_flux_roll_1h_mean,0.01666033243385168
proton_flux_proxy_gt100_mev_roll_7d_std,0.01652783587731413
proton_flux_proxy_gt50_mev_roll_6h_mean,0.015443733137290729
proton_flux_proxy_gt10_mev_lag_90m,0.015367506806017896
proton_flux_proxy_gt50_mev_lag_7d,0.015245180637354161
log_dose_lag_5m,0.014265004288162674
proton_flux_proxy_gt10_mev_roll_6h_mean,0.014052078987566937
proton_flux_proxy_gt10_mev_roll_1h_mean,0.01306178116389892
log10_xrs_b_flux_roll_1h_max,0.01253870316234897
proton_flux_proxy_gt10_mev_roll_6h_std,0.01234398706642727
log_dose_lag_1d,0.011996976259144497
proton_flux_proxy_gt100_mev_roll_3d_std,0.011876009722017569
flux_orbit_diff_380m,0.011843988183879921
proton_flux_proxy_gt100_mev_roll_6h_min,0.010925604050978584
proton_flux_proxy_gt50_mev_roll_3d_std,0.010793693648779946
proton_flux_proxy_gt50_mev_roll_1d_mean,0.01053673405675785
dose_residual_lag_100m,0.009944425027847573
log10_xrs_b_flux_roll_1h_min,0.009253917600574289
log10_xrs_a_flux_lag_3h,0.008871138097904388
log10_xrs_b_flux_lag_95m,0.007732014471203931
proton_flux_proxy_gt10_mev,0.004198855052732204
log10_xrs_a_flux_roll_1h_mean,0.004003401419348779
flux_lag_95m,0.002936165802826389
log10_xrs_a_flux_roll_1h_std,0.0
log10_xrs_a_flux_roll_1h_max,0.0
log_dose_orbit_diff_95m,0.0
proton_flux_proxy_gt100_mev_roll_1h_max,0.0
proton_flux_proxy_gt100_mev_roll_1h_min,0.0
proton_flux_proxy_gt50_mev_roll_1h_max,0.0
dose_residual_orbit_diff_380m,0.0
proton_flux_proxy_gt50_mev_roll_1h_mean,0.0
proton_flux_proxy_gt50_mev_roll_1h_min,0.0
dose_residual_orbit_diff_285m,0.0
proton_flux_proxy_gt50_mev_roll_1h_std,0.0
dose_residual_orbit_diff_190m,0.0
log10_xrs_b_flux_roll_1h_std,0.0
dose_residual_orbit_diff_95m,0.0
proton_flux_proxy_gt10_mev_roll_1h_max,0.0
proton_flux_proxy_gt10_mev_roll_1h_min,0.0
proton_flux_proxy_gt100_mev_roll_3d_mean,0.0
proton_flux_proxy_gt10_mev_roll_1h_std,0.0
proton_flux_proxy_gt100_mev_roll_1h_std,0.0
proton_flux_proxy_gt100_mev_roll_1h_mean,0.0
absorbed_dose_rate,0.0
dose_residual_roll_1h_std,0.0
log10_xrs_a_flux_delta_1d,0.0
dose_residual_lag_15m,0.0
dose_residual_lag_5m,0.0
log10_xrs_b_flux_delta_1d,0.0
log10_xrs_b_flux_delta_6h,0.0
log10_xrs_b_flux_delta_1h,0.0
log10_xrs_b_flux_delta_15m,0.0
log10_xrs_a_flux_delta_6h,0.0
dose_residual_roll_1h_mean,0.0
log10_xrs_a_flux_delta_1h,0.0
log10_xrs_a_flux_delta_15m,0.0
log1p_proton_flux_proxy_gt100_mev_delta_1d,0.0
log1p_proton_flux_proxy_gt100_mev_delta_6h,0.0
log1p_proton_flux_proxy_gt100_mev_delta_1h,0.0
log1p_proton_flux_proxy_gt100_mev_delta_15m,0.0
dose_residual_lag_30m,0.0
dose_residual_lag_1h,0.0
dose_residual_lag_95m,0.0
dose_residual_lag_3h,0.0
dose_residual_lag_190m,0.0
dose_residual_lag_285m,0.0
dose_residual_lag_6h,0.0
dose_residual_lag_380m,0.0
dose_residual_lag_12h,0.0
dose_residual_lag_1d,0.0
dose_residual_lag_3d,0.0
dose_residual_lag_7d,0.0
log_dose_lag_190m,0.0
log_dose_lag_3d,0.0
log_dose_lag_7d,0.0
proton_flux_proxy_gt10_mev_lag_5m,0.0
proton_flux_proxy_gt10_mev_lag_15m,0.0
log1p_proton_flux_proxy_gt50_mev_delta_1d,0.0
log1p_proton_flux_proxy_gt50_mev_delta_6h,0.0
log1p_proton_flux_proxy_gt50_mev_delta_1h,0.0
q99_ratio,0.0
altitude,0.0
samples_in_bin,0.0
log_dose,0.0
dose_residual,0.0
proton_flux_proxy_gt50_mev,0.0
proton_flux_proxy_gt100_mev,0.0
xrs_a_flux,0.0
xrs_b_flux,0.0
log10_xrs_a_flux,0.0
log10_xrs_b_flux,0.0
log1p_proton_flux_proxy_gt10_mev,0.0
log1p_proton_flux_proxy_gt50_mev,0.0
log1p_proton_flux_proxy_gt100_mev,0.0
q99_margin,0.0
Hp30,0.0
log1p_proton_flux_proxy_gt50_mev_delta_15m,0.0
