feature,importance
flux_roll_6h_std,8.094093384737667
flux_roll_6h_max,6.274268527238835
q99_margin_roll_1d_q90,6.16096201606912
flux_roll_6h_mean,5.51310122357397
q99_exceedance_roll_3d_rate,4.942148457172626
dose_residual_roll_6h_mean,4.234902090090693
instrument_id,4.175417545387539
q99_exceedance_roll_1d_rate,3.3358380767618137
flux_roll_6h_min,3.0620001637873124
latitude,2.752985337149705
longitude_cos,2.3608332643135945
q99_margin_roll_6h_q90,2.184052836372086
flux_roll_1h_std,2.002582348931767
q99_margin_roll_3d_q90,1.9153341915397544
dose_residual_roll_6h_min,1.4172807030723245
flux_roll_1h_max,1.3947583095927651
longitude,1.2927316224041303
flux_roll_1d_std,1.1897432101560361
longitude_sin,1.1350367908510062
ace_proton_density_lag_12h,0.8051498774782789
q99_margin_roll_6h_max,0.7687610682218264
flux_roll_7d_max,0.7520175124580342
flux_roll_1d_max,0.7245393758641918
minute_of_day_cos,0.694837345528626
log10_xrs_b_flux_roll_7d_max,0.6853480933645532
ace_solar_wind_speed_lag_1d,0.6780927815939727
day_of_year_sin,0.6714545077603412
ace_solar_wind_speed_roll_6h_std,0.6068639604554439
ace_solar_wind_speed_lag_1h,0.5954198412464505
donki_ips_age_minutes,0.5271515905500492
dose_residual_roll_6h_max,0.4537493200649148
log_dose_lag_100m,0.43044631652800097
flux_roll_1d_min,0.4180853680804985
log_dose_lag_380m,0.41774677575639885
proton_flux_proxy_gt100_mev_roll_1d_max,0.41545973389576907
flux_lag_12h,0.4042586166606891
flux_lag_6h,0.3942053448851061
b,0.39227670838030526
dose_residual_roll_3d_max,0.37184902418604304
log_dose_lag_6h,0.357946602916982
flux_lag_380m,0.3520549611198948
dose_residual_roll_6h_std,0.350767293301432
q99_margin_roll_1d_max,0.34919106734464156
flux_roll_3d_max,0.344134677382133
log1p_flux_delta_1d,0.33780459746638153
log10_xrs_b_flux_lag_380m,0.33375839155698517
SN,0.32999540773262426
donki_hss_age_minutes,0.32249362862641046
flux_roll_1h_mean,0.3161688526680301
ace_proton_density_roll_1d_std,0.29901715190741285
ace_imf_magnitude_roll_1d_std,0.2987848629357757
q99_margin_roll_3d_max,0.2982037668875372
proton_flux_proxy_gt100_mev_roll_3d_max,0.28124758513063314
log10_xrs_a_flux_roll_1d_max,0.2810811880815602
log10_xrs_b_flux_roll_7d_mean,0.2784864055225753
dose_residual_roll_7d_min,0.268861368542383
flux_roll_7d_min,0.2687379119501439
proton_flux_proxy_gt10_mev_roll_7d_mean,0.26477444259925476
log_dose_orbit_diff_285m,0.25759144535724476
flux_roll_3d_min,0.2413824752017003
log_dose_lag_285m,0.2294889940758077
minute_of_day_sin,0.2289537405128788
flux_lag_30m,0.22526771740737975
dose_residual_roll_3d_mean,0.21352021475654362
log10_xrs_b_flux_roll_6h_mean,0.208862862735287
log10_xrs_a_flux_roll_1d_mean,0.20730019061093266
ace_solar_wind_speed_roll_1d_std,0.20247063717669586
flux_roll_7d_std,0.19892449446008198
flux_roll_3d_mean,0.19623815892897384
flux_roll_1d_mean,0.1949137184565398
donki_cme_age_minutes,0.19386856609992828
log1p_mpsh_electron_mid_roll_1d_std,0.19319921299559792
log10_xrs_b_flux_roll_1d_min,0.19296252253284246
flux_lag_190m,0.1917799035997325
log10_xrs_a_flux_roll_6h_min,0.18837749298635018
dose_residual_roll_1d_max,0.1860585841212647
log10_xrs_b_flux_roll_3d_min,0.18546299749436487
dose_residual_roll_7d_mean,0.18530402303170548
dose_residual_roll_3d_std,0.18113316672185154
dose_residual_roll_1d_std,0.18093133371535403
log1p_flux_delta_15m,0.18024577831924643
log10_xrs_a_flux_roll_7d_std,0.17943345296030405
flux_lag_285m,0.178272597554725
log10_xrs_b_flux_roll_6h_min,0.17659369129707944
log1p_ace_epam_p7_roll_1d_std,0.1763325908878258
ace_imf_bz_gse_roll_6h_max,0.17580036510414299
Fobs,0.17363843735385875
log10_xrs_b_flux_roll_1d_max,0.17269133826541072
flux_roll_1h_min,0.17190705070177298
log10_xrs_b_flux_lag_285m,0.17154136843418163
log10_xrs_b_flux_roll_1d_mean,0.16913603064601931
flux_roll_3d_std,0.16878720465140232
flux_lag_1d,0.16581374255539447
log1p_mpsh_proton_proxy_gt5mev_roll_1d_max,0.16541424018186257
log_dose_lag_12h,0.1608220742140311
log1p_mpsh_electron_gt2mev_roll_6h_max,0.15706003041099623
spatial_baseline_log_dose,0.15689896531475875
log1p_flux_delta_6h,0.15600265492561483
dose_residual_roll_7d_std,0.15480764066998515
log10_xrs_a_flux_roll_3d_max,0.1522868196038327
log1p_mpsh_electron_gt2mev_roll_1d_max,0.1511555315879264
ace_proton_density_roll_6h_mean,0.14871594878981517
log10_xrs_b_flux_roll_3d_max,0.14655458543124217
log10_xrs_a_flux_roll_1d_std,0.142936806548454
proton_flux_proxy_gt100_mev_roll_1d_min,0.1428823707415268
log_dose_lag_90m,0.1411922167355597
donki_gst_age_minutes,0.1411822994762083
flux_orbit_diff_95m,0.13742621318817044
log1p_mpsh_proton_proxy_gt5mev_lag_12h,0.13715311036510433
dose_residual_roll_1d_min,0.13712241146110066
log1p_mpsh_proton_proxy_gt5mev_lag_1d,0.13591911397497788
proton_flux_proxy_gt10_mev_roll_3d_min,0.13470694202578884
ace_proton_density_roll_1d_mean,0.134630554182169
log10_xrs_a_flux_roll_7d_mean,0.13391014374997798
flux_orbit_diff_285m,0.1332875355114519
log1p_mpsh_electron_low_roll_6h_std,0.1319902282356853
q99_margin_roll_1h_q90,0.13045657629657215
dose_residual_roll_7d_max,0.12894283944729532
dose_residual_roll_3d_min,0.1287166370356574
proton_flux_proxy_gt50_mev_roll_7d_max,0.12479377238183129
q99_margin_roll_1h_max,0.12424885073428948
ace_solar_wind_speed_roll_6h_max,0.1227451573147067
proton_flux_proxy_gt10_mev_roll_7d_min,0.11995050006987626
flux_lag_1h,0.11470975396916294
log10_xrs_b_flux_roll_1h_min,0.11454442932944636
log10_xrs_a_flux_roll_3d_mean,0.11250927441686935
proton_flux_proxy_gt100_mev_roll_3d_min,0.11159396201277813
q99_exceedance_roll_6h_rate,0.11079844525243715
ace_imf_bz_gse_roll_1h_mean,0.10885896901680246
log1p_ace_epam_p7_roll_6h_std,0.1067521221235891
log10_xrs_b_flux_roll_6h_std,0.10643619609560771
ace_imf_bz_gse_roll_1d_std,0.1058410348410092
log10_xrs_a_flux_roll_1d_min,0.10569967700092053
proton_flux_proxy_gt50_mev_roll_3d_max,0.10497415506400079
flux_lag_100m,0.10467022354106817
day_of_year_cos,0.09644610403156327
log1p_mpsh_electron_high_roll_1d_std,0.096201209239216
proton_flux_proxy_gt100_mev_lag_3d,0.09551816934139007
proton_flux_proxy_gt10_mev_roll_1d_max,0.09423899229909107
log1p_mpsh_electron_mid_roll_1d_max,0.08982906649064534
Fadj,0.08890675062335573
Kp,0.08889955872046232
